,Home team,Away team,Date,Result,Home points,Away points,Q1 home,Q2 home,Q3 home,Q4 home,Q5 home,Q1 away,Q2 away,Q3 away,Q4 away,Q5 away
450,Denver,Sacramento,24/12/20,A,122,124,31,29,24,28,10,25,28,36,23,12
451,Chicago,Atlanta,24/12/20,A,104,124,29,30,20,25,,42,41,28,13,
452,Memphis,San Antonio,24/12/20,A,119,131,33,20,35,31,,30,36,33,32,
453,Minnesota,Detroit,24/12/20,H,111,101,25,31,24,31,,34,23,28,16,
454,Boston,Milwaukee,24/12/20,H,122,121,31,33,37,21,,34,25,25,37,
455,Toronto,New Orleans,24/12/20,A,99,113,26,31,22,20,,23,27,38,25,
456,Orlando,Miami,24/12/20,H,113,107,27,29,23,34,,29,24,30,24,
457,Philadelphia,Washington,24/12/20,H,113,107,30,28,15,40,,26,33,24,24,
458,Cleveland,Charlotte,24/12/20,H,121,114,24,41,28,28,,23,21,36,34,
459,Indiana,NY Knicks,24/12/20,H,121,107,35,26,27,33,,33,33,16,25,
460,LA Lakers,LA Clippers,23/12/20,A,109,116,19,35,24,31,,39,17,33,27,
461,Brooklyn,Golden State,23/12/20,H,125,99,40,23,36,26,,25,20,26,28,
